"ORDEARTI,N,6,0","CODIARTI,C,10","CODIGRAR,C,4","DESCARTI,C,70","UNMEARTI,C,3","ENVAARTI,C,5","UNENARTI,N,5,0","CODIIMP1,C,2","CODIIMP2,C,2","CODIDECA,C,2","CODIDEOP,C,2","ISTKARTI,C,1","IMOVARTI,C,1","CODIESPE,C,2","DECAARTI,N,5,2","REFIARTI,N,6,2","FLETARTI,N,6,2","MARGARTI,N,6,2","COEFARTI,N,8,4","POR1DEOP,N,5,2","POR2DEOP,N,5,2","POR3DEOP,N,5,2","POR4DEOP,N,5,2","POR5DEOP,N,5,2","POR6DEOP,N,5,2","POR7DEOP,N,5,2","CODIPROV,C,3","NUMEMODE,C,10","NPROARTI,C,15","CODIIMP3,C,2","FRANARTI,C,1","PREFARTI,C,4","BASIARTI,C,8","SUF1ARTI,C,2","SUF2ARTI,C,3","PARTARTI,C,22","BAINARTI,C,8","TIPOARTI,C,1","RECAARTI,N,8,2","COMIARTI,N,5,2","NUMECUEN,C,6","ACTIARTI,C,1","PROVARTI,C,5","FEACARTI,D","OBSOARTI,C,1","COB1ARTI,C,30","COB2ARTI,C,30","COBAARTI,C,30","EMERARTI,C,40","HORAARTI,C,6","ULMOARTI,D","CODIMARC,C,3","FEBAARTI,D","SIREARTI,C,1","REEMARTI,C,21","NUMELIST,C,2","CLASARTI,C,3","GRUPARTI,C,1","INDIARTI,L","CODIDESE,C,4","PRECARTI,N,15,2","COPRARTI,C,20","FEALARTI,D","CODIDESC,C,2","MODEARTI,C,12","MARCARTI,C,10","ORIGARTI,C,10","DESPARTI,C,20","FEDEARTI,D","COPRATI,C,10","CODICATE,C,4","IMAGARTI,C,120","LOTEARTI,C,1"
0,26919,0009,LIJA BANDA PORTATIL  100X610 GR100,1,1,5,01,,,,S,A,,,,,,,,,,,,,,599,,,A,,,,,,7798300357766,,,,,,A,599,,,,,,,14:31:,12/09/2024,047,,,,,,,,,,,,,,,,,,,017,,
0,26920,0009,LIJA BANDA PORTATIL  100X610 GR120,1,1,5,01,,,,S,A,,,,,,,,,,,,,,599,,,A,,,,,,7798300357773,,,,,,A,599,,,,,,,14:32:,12/09/2024,047,,,,,,,,,,,,,,,,,,,017,,
0,26921,0009,LIJA BANDA PORTATIL  100X610 GR150,1,1,5,01,,,,S,A,,,,,,,,,,,,,,599,,,A,,,,,,7798300357780,,,,,,A,599,,,,,,,14:32:,12/09/2024,047,,,,,,,,,,,,,,,,,,,017,,
0,26922,0009,LIJA BANDA PORTATIL  100X610 GR180,1,1,5,01,,,,S,A,,,,,,,,,,,,,,599,,,A,,,,,,7798300357797,,,,,,A,599,,,,,,,14:33:,12/09/2024,047,,,,,,,,,,B-PA50-103,,,,,,,,,017,,
9744,26923,0009,LIJA BANDA PORTATIL  50X318 GR24 B-,,,1,01,,,,S,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,017,,
9745,26924,0009,LIJA BANDA PORTATIL  50X318 GR36 B-,,,1,01,,,,S,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,017,,
9746,26925,0009,LIJA BANDA PORTATIL  50X318 GR40 B-,,,1,01,,,,S,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,017,,
9747,26926,0009,LIJA BANDA PORTATIL  50X318 GR50 B-,,,1,01,,,,S,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,017,,
9748,26927,0009,LIJA BANDA PORTATIL  50X318 GR60 B-,,,1,01,,,,S,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,017,,
9749,26928,0009,LIJA BANDA PORTATIL  50X318 GR80 B-,,,1,01,,,,S,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,017,,
9750,26929,0009,LIJA BANDA PORTATIL  50X318 GR100 B,,,1,01,,,,S,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,017,,
9751,26930,0009,LIJA BANDA PORTATIL  50X318 GR120 B,,,1,01,,,,S,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,017,,
